"Adolescent fertility rate (births per 1,000 women ages 15-19)",Arable land (% of land area),Arable land (hectares per person),"Birth rate, crude (per 1,000 people)",CO2 emissions from solid fuel consumption (% of total),Crop production index (2004-2006 = 100),Livestock production index (2004-2006 = 100),Permanent cropland (% of land area),"Population, female (% of total)",Rural population (% of total population),"Life expectancy at birth, total (years)",Year,CountryName,MeanLifeExpetancyOverall,MeanLifeExpetancyForYear,AboveAverageLifeExpectancyOverall,AboveAverageLifeExpectancyByYear
124.2764,3.199639477242,0.191045385279883,43.625,35.5236486486486,34.89,31.72,1.30238846327174,50.292320965718794,49.76,58.641268292682895,1964,Colombia,64.19356275253435,55.93721762963236,False,True
140.8286,1.51683748169839,0.4597897039060821,42.864,0.0,46.02,28.59,0.0732064421669107,50.5021294121615,65.476,50.952292682926796,1964,"Congo, Rep.",64.19356275253435,55.93721762963236,False,False
217.7382,5.283018867924531,0.414848105094853,54.222,0.0,23.44,34.85,4.08805031446541,48.6057523134573,76.993,39.5050975609756,1964,Cote d'Ivoire,64.19356275253435,55.93721762963236,False,False
45.1342,64.33797498229879,0.5772889528156279,17.7,34.547461368653394,67.96,70.51,0.33042246872787395,50.4082992766375,23.591,72.4851219512195,1964,Denmark,64.19356275253435,55.93721762963236,True,True
128.2872,6.1768530559167685,0.335328965559166,43.334,0.0,53.21,13.28,2.925877763329,49.914481308841886,63.878,55.3872926829268,1964,Ecuador,64.19356275253435,55.93721762963236,False,False
94.8264,4.7071702244116,0.190919343237459,40.247,2.58620689655172,87.65,33.99,3.7766830870279104,48.896663795476506,68.009,57.638853658536604,1964,Fiji,64.19356275253435,55.93721762963236,False,True
31.278,8.895892839554811,0.5957072407581939,17.7,35.093068035943496,55.13,108.79,0.0032831018746511697,51.727553332425614,41.168,69.2209756097561,1964,Finland,64.19356275253435,55.93721762963236,True,True
36.5342,34.841462033800504,0.385808500054086,18.4,55.1478787235172,74.54,69.08,3.1959617653397,51.1348493581996,34.102,70.66341463414629,1964,France,64.19356275253435,55.93721762963236,True,True
147.2552,7.471213852509449,0.2262658442657449,47.42100000000001,7.33333333333333,31.95,32.31,7.03173068471478,49.127292638667,74.512,47.453365853658504,1964,Ghana,64.19356275253435,55.93721762963236,False,False
23.4744,23.2816136539953,0.352626171959134,18.0,37.3544093178037,48.34,50.22,6.57098525989139,51.3053576492022,40.901,69.4294390243902,1964,Greece,64.19356275253435,55.93721762963236,True,True
149.0822,10.2650242627846,0.23908646366342198,45.58600000000001,0.0,25.52,29.29,4.12467338559164,49.3816571995672,66.318,47.88663414634149,1964,Guatemala,64.19356275253435,55.93721762963236,False,False
122.3586,1.77926897463271,0.5505066233811171,36.229,0.0,73.78,42.03,0.0508362564180774,50.127560249017705,70.831,61.0122926829268,1964,Guyana,64.19356275253435,55.93721762963236,False,True
43.4584883949532,10.6973351354933,0.510237383419979,20.855177391207498,40.6947351673911,56.2971583135254,59.182323280017606,0.6992208289026409,51.5115811412158,35.026291164681396,69.0430171628143,1964,High income,64.19356275253435,55.93721762963236,True,True
158.739,11.7347394762713,0.5751799134733161,49.237,0.0,35.74,21.73,1.6712842970774902,49.7181925069784,74.906,48.927975609756096,1964,Honduras,64.19356275253435,55.93721762963236,False,False
105.2848,53.05143633605661,0.32342669140100705,41.01300000000001,77.7761550070591,36.69,24.68,1.4751832207158,48.3086152941784,81.405,43.698414634146296,1964,India,64.19356275253435,55.93721762963236,False,False
146.3072,10.860369938496001,0.584816921523725,44.739,0.0404040404040404,36.64,92.56,0.262935272195167,49.437196818595886,50.907,52.7368292682927,1964,Iraq,64.19356275253435,55.93721762963236,False,False
