"Adolescent fertility rate (births per 1,000 women ages 15-19)",Cereal yield (kg per hectare),Urban population (% of total),GDP per capita (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Permanent cropland (% of land area),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Population density (people per sq. km of land area),Agricultural land (% of land area),Arable land (hectares per person),CO2 emissions from solid fuel consumption (kt),Arable land (% of land area),Merchandise trade (% of GDP),"Life expectancy at birth, total (years)",Year,CountryName,MeanLifeExpetancyOverall,MeanLifeExpetancyForYear,AboveAverageLifeExpectancyOverall,AboveAverageLifeExpectancyByYear
185.9436,1515.409,37.832,508.108213135325,16.3718196623713,0.0174874561132111,2.88359863085132,7.44205598676334,27.112282920136103,0.4920151472701471,1404.461,3.66160427232005,52.4278183972394,51.6411951219512,1978,Zambia,64.19356275253435,61.34329890663182,False,False
151.9654,1323.7,15.435,278.390625171824,60.0165511534085,0.212909352694299,68.9096470349192,20.346290169408398,58.28048892565022,0.595485497217969,352.032,12.115920718071301,24.3108302485484,41.2505853658537,1979,Afghanistan,64.19356275253435,61.89320123442705,False,False
77.4036,561.482,42.665,1771.9655051015,1.77387908300915,0.273329582574084,8.91671079956918,7.87691393686968,18.3983138377825,0.36491057052536396,894.748,2.87436915868231,54.0064748919582,56.874878048780495,1979,Algeria,64.19356275253435,61.89320123442705,False,False
80.0792,2252.176,82.516,2501.48111430387,7.698739733605139,0.35626980037928996,4.2792192019455895,10.1160635658405,46.82517932246621,0.939152660348577,3604.661,9.50052801011441,20.9523639411004,69.2243170731707,1979,Argentina,64.19356275253435,61.89320123442705,True,True
29.538,1510.164,85.821,9272.757381572741,5.771511574386281,0.0201762493003397,2.8297828965814302,1.8892779506137496,62.543378935995705,3.02687060768913,107402.763,5.71859989846791,27.3834042371808,74.00390243902442,1979,Australia,64.19356275253435,61.89320123442705,True,True
34.9912,3729.205,65.381,9770.17215002269,11.430012023426304,1.1988374909178998,9.1157873937957,91.41953257447321,44.344877694357,0.2017372183974281,14447.98,18.4427222087673,48.445358377685395,72.3121951219512,1979,Austria,64.19356275253435,61.89320123442705,True,True
89.1344,1142.857,72.484,5531.9897300498,2.47707221953597,0.19980019980020008,47.33012126369229,20.583216783216802,1.0989010989011,0.0339743154175443,0.0,0.6993006993006989,640.463182973927,68.21878048780489,1979,"Bahamas, The",64.19356275253435,61.89320123442705,True,True
194.4838,1870.854,13.701,196.67800593716493,13.3951163003384,2.0357993393255,19.7903157195771,607.989144964277,76.6920181301375,0.115210711204767,359.366,70.0468617961128,16.4918906895593,52.8872926829268,1979,Bangladesh,64.19356275253435,61.89320123442705,False,False
164.64,1711.2089999999996,49.537,1074.2491578679198,0.842968554553654,0.30688294607628197,11.9033914304791,6.19500219202104,4.12099956159579,0.30429982732754,0.0,1.8851380973257301,143.986166007905,69.208756097561,1979,Belize,64.19356275253435,61.89320123442705,True,True
105.11,720.8739999999998,26.676,327.823149909895,1.6869095816464201,0.7538134090102869,25.1702572533184,32.090360056757696,17.7101809152182,0.40624467149314797,0.0,13.0365377793544,30.860742497439297,46.8292682926829,1979,Benin,64.19356275253435,61.89320123442705,False,False
98.1478,1131.647,44.44300000000001,808.419120612455,5.85147764089535,0.106157112526539,13.382504425634,5.04857657158682,30.947106064801996,0.349233323148885,3.667,1.7631311732668702,37.41170438975721,49.5346097560976,1979,Bolivia,64.19356275253435,61.89320123442705,False,False
76.97399999999998,1301.318,64.551,1885.0910571785998,5.7945868646847405,0.8988842015089481,1.84608144471021,14.2784691330846,26.622310705491905,0.376231412115308,18478.013,5.3720086047852815,15.5790014821419,61.754975609756094,1979,Brazil,64.19356275253435,61.89320123442705,False,False
49.2152,1100.0,4.178,194.702881308037,29.2157843118402,12.4610591900312,40.0281385989595,156.50027258567,81.7757009345794,0.23140504915864396,3.667,36.214953271028,32.7740693251089,46.90295121951222,1979,Burundi,64.19356275253435,61.89320123442705,False,False
194.9626,817.7389999999998,31.091,670.0100814703869,5.5157804650768,2.1450783778638103,5.02264083870154,18.348810052675,18.8529965517971,0.679989291725091,0.0,12.4769943517167,41.413461773635895,50.76300000000001,1979,Cameroon,64.19356275253435,61.89320123442705,False,False
28.078000000000007,2032.7,75.623,9997.19843230754,7.90027993523067,0.6438657899974821,4.34405265199582,2.66970619705702,7.357225097899492,1.8278205709107398,76090.25,4.8797439052687,47.3567611591162,74.8663414634146,1979,Canada,64.19356275253435,61.89320123442705,True,True
168.4088,497.198,33.546,316.531254919905,23.416798652487607,0.11236315772577,4.43632109957596,3.55370637901698,7.91357667982921,0.8401509019426461,0.0,2.98564961957045,21.3010429908198,48.4244146341463,1979,Central African Republic,64.19356275253435,61.89320123442705,False,False
70.4634,2191.466,80.695,1872.5746557917,27.350092018759998,0.2837806577255589,34.6239567526555,14.8886638369297,22.7293512585874,0.351303562953436,4250.053,5.23044065352937,41.9795254482132,67.4316585365854,1979,Chile,64.19356275253435,61.89320123442705,True,True
16.5558,3032.502,18.617,182.513532340627,13.3616682162306,0.32466114558091197,8.98441014304625,103.21465661864599,45.076558464037504,0.0995371540910522,1148489.732,10.2736931803052,16.5301788740519,66.7622926829268,1979,China,64.19356275253435,61.89320123442705,True,True
83.2362,2462.953,61.413,1030.4969500857198,3.75499182063125,1.33393420459667,3.09791719504878,24.4375935105904,40.808472284813,0.136352689120663,11265.024,3.33213159080667,24.2469777798713,64.9003414634146,1979,Colombia,64.19356275253435,61.89320123442705,True,True
143.0946,798.97,26.819000000000006,587.314343907312,78.53184483174041,0.41904677885357594,36.8065746991488,11.3171240157914,11.3142630290466,0.257244893162688,748.068,2.91127235835116,11.368635498006403,46.0248780487805,1979,"Congo, Dem. Rep.",64.19356275253435,61.89320123442705,False,False
144.072,689.655,46.932,685.055004975065,18.2204101775035,0.10834553440702804,6.2453006124405706,5.12403806734993,30.8111273792094,0.27716518873806395,0.0,1.42020497803807,65.6406439434525,55.8649024390244,1979,"Congo, Rep.",64.19356275253435,61.89320123442705,False,False
98.0872,2293.554,42.747,1734.4331419862199,4.32126125200202,4.30865648256953,9.63990659634684,45.568115942028996,47.8456717587152,0.12163107704103801,0.0,5.54249902075989,57.7670364151814,71.5321951219512,1979,Costa Rica,64.19356275253435,61.89320123442705,True,True
206.1626,762.6410000000002,36.614,1155.52114538306,10.8418484489113,7.23270440251572,15.567136725934999,24.881729559748397,54.1666666666667,0.243289322189629,0.0,6.0534591194968606,54.752118131391,50.204048780487796,1979,Cote d'Ivoire,64.19356275253435,61.89320123442705,False,False
33.1068,1664.977,56.378,2559.2275553182603,12.8586790673847,6.547619047619048,7.93508915529888,73.5944805194805,18.668831168831197,0.158820493137631,0.0,11.688311688311698,113.776914518547,74.5578292682927,1979,Cyprus,64.19356275253435,61.89320123442705,True,True
17.4576,4156.11,83.448,13740.9671937247,4.1293107085643195,0.330344502123643,7.0413054863195095,120.736219915054,68.9004247286456,0.516338235549907,16303.482,62.340726757904704,47.0736689698255,74.21926829268291,1979,Denmark,64.19356275253435,61.89320123442705,True,True
113.8404,2922.452,50.16,968.792796951337,4.3013087957935605,7.24337748344371,8.40983070113497,117.465438741722,53.6009933774834,0.18322988479421,0.0,21.523178807947,37.8517124126771,62.647268292682895,1979,Dominican Republic,64.19356275253435,61.89320123442705,False,True
